N,OMP (2T),OMP (4T),OMP (8T),MPI (1P),MPI (2P),MPI (4P),MPI (8P)
512,73.9%,58.8%,35.5%,99.2%,82.5%,45.4%,23.8%
1024,64.3%,49.7%,37.3%,92.2%,86.1%,55.3%,29.1%
2048,71.2%,56.7%,39.0%,100.4%,92.5%,67.5%,42.5%
4096,67.7%,57.8%,38.3%,101.0%,89.0%,60.9%,36.1%
